State,Region,Enrollment_Male,Enrollment_Female,Enrollment_Total,Population_Male,Population_Female,Population_Total,NER_Male,NER_Female,NER_Total,Out_Of_School_Children,Risk_Level
Abia,South East,52625,53863,106488,271979,269073,541052,19.35,20.02,19.68,434564,High
Adamawa,North East,100028,93423,193451,201050,196606,397656,49.75,47.52,48.65,204205,Medium
Akwa Ibom,South South,391963,374327,766290,413782,400370,814152,94.73,93.5,94.12,47862,Low
Anambra,South East,365727,384806,750533,405487,394366,799852,90.19,97.58,93.83,49319,Low
Bauchi,North East,451242,382862,834104,583118,562096,1145214,77.38,68.11,72.83,311110,High
Bayelsa,South South,38271,41788,80059,176982,168138,345119,21.62,24.85,23.2,265060,Medium
Benue,North Central,149300,171215,320515,496222,488263,984486,30.09,35.07,32.56,663971,Very High
Borno,North East,210571,247946,458517,515284,478222,993506,40.87,51.85,46.15,534989,Very High
Cross River,South South,79809,83568,163377,296460,286186,582647,26.92,29.2,28.04,419270,High
Delta,South South,141497,145264,286761,421901,416569,838470,33.54,34.87,34.2,551709,Very High
Ebonyi,South East,162052,163224,325276,226596,236950,463546,71.52,68.89,70.17,138270,Medium
Edo,South South,110169,113568,223737,309297,302757,612054,35.62,37.51,36.56,388317,High
Ekiti,South West,78318,76478,154796,252375,245716,498090,31.03,31.12,31.08,343294,High
Enugu,South East,147889,144394,292283,310581,325318,635899,47.62,44.39,45.96,343616,High
FCT,North Central,110169,113568,223737,240929,221178,462107,45.73,51.35,48.42,238370,Medium
Gombe,North East,224438,185614,410052,302443,272446,574889,74.21,68.13,71.33,164837,Medium
Imo,South East,380583,361032,741615,395195,390124,785319,96.3,92.54,94.43,43704,Low
Jigawa,North West,335899,263018,598917,502571,494510,997081,66.84,53.19,60.07,398164,High
Kaduna,North West,686321,614392,1300713,711070,695559,1406628,96.52,88.33,92.47,105915,Medium
Kano,North West,1165740,1030763,2196503,1199164,1079258,2278422,97.21,95.51,96.4,81919,Low
Katsina,North West,670282,614650,1284932,700364,677794,1378158,95.7,90.68,93.24,93226,Low
Kebbi,North West,239915,145851,385766,391824,390224,782047,61.23,37.38,49.33,396281,High
Kogi,North Central,98711,100556,199267,380728,373482,754210,25.93,26.92,26.42,554943,Very High
Kwara,North Central,139760,128204,267964,261419,256545,517964,53.46,49.97,51.73,250000,Medium
Lagos,South West,413755,423146,836901,676679,726922,1403601,61.14,58.21,59.63,566700,Very High
Nasarawa,North Central,127978,146067,274045,214467,210323,424790,59.67,69.45,64.51,150745,Medium
Niger,North Central,380885,298360,679245,479984,467092,947076,79.35,63.88,71.72,267831,Medium
Ogun,South West,171798,180525,352323,369877,374104,743981,46.45,48.26,47.36,391658,High
Ondo,South West,346643,330028,676671,354251,348329,702580,97.85,94.75,96.31,25909,Low
Osun,South West,140733,141787,282520,354577,344082,698659,39.69,41.21,40.44,416139,High
Oyo,South West,827501,884582,1712083,874305,969408,1843713,94.65,91.25,92.86,131630,Medium
Plateau,North Central,175043,183471,358514,353148,355030,708177,49.57,51.68,50.62,349663,High
Sokoto,North West,372788,234064,606852,434566,428777,863343,85.78,54.59,70.29,256491,Medium
Taraba,North East,262855,220448,483303,263449,252418,515867,99.77,87.33,93.69,32564,Low
Yobe,North East,225317,320934,546251,295332,273582,568913,76.29,117.31,96.02,22662,Low
Zamfara,North West,225005,156494,381499,236779,236142,472921,95.03,66.27,80.67,91422,Low
Rivers,South South,62944,65832,128776,540381,510612,1050993,11.65,12.89,12.25,922217,Very High
